Posição,Município,UF,Quantidade
322,Mairinque,SP,7
323,Paracambi,RJ,7
324,Mossoró,RN,6
325,Iguape,SP,6
326,Jangada,MT,6
327,Taquara,RS,6
328,Santa Cruz do Sul,RS,6
329,Capitólio,MG,6
330,Teresópolis,RJ,6
331,Capão Alto,SC,6
332,Canápolis,MG,6
333,Miraí,MG,6
334,Ilha Comprida,SP,6
335,Pouso Alto,MG,6
336,Coruripe,AL,6
337,Atibaia,SP,6
338,Mongaguá,SP,6
339,Augusto de Lima,MG,6
340,Santarém,PA,6
341,Luziânia,GO,6
342,São Simão,SP,6
343,Itapoá,SC,6
344,Santa Maria,RS,6
345,Lorena,SP,6
346,Cachoeira do Sul,RS,6
347,Santa Juliana,MG,6
348,Morrinhos,GO,6
349,Domingos Martins,ES,6
350,Itajubá,MG,6
351,São João del Rei,MG,6
352,Garopaba,SC,6
353,Biguaçu,SC,6
354,Rio das Flores,RJ,6
355,Rio Verde,GO,6
356,Marataízes,ES,6
357,Olímpia,SP,6
358,Campo Belo,MG,6
359,Rio Novo do Sul,ES,6
360,Blumenau,SC,6
361,Borda da Mata,MG,6
362,Botucatu,SP,6
363,Cruz Alta,RS,6
364,Arapiraca,AL,6
365,Codó,MA,6
366,Salinas,MG,6
367,Eunápolis,BA,6
368,Matão,SP,6
369,Jequié,BA,6
370,São Joaquim de Bicas,MG,6
371,Cassilândia,MS,6
372,Barueri,SP,6
373,São Miguel dos Campos,AL,6
374,Garuva,SC,5
375,Gurupi,TO,5
376,Pinheiral,RJ,5
377,São João do Manhuaçu,MG,5
378,Jardinópolis,SP,5
379,Avaí,SP,5
380,Nossa Senhora do Socorro,SE,5
381,Nova União,MG,5
382,Pederneiras,SP,5
383,São Lourenço,MG,5
384,Umuarama,PR,5
385,Itapeva,SP,5
386,Passos,MG,5
387,São Sebastião do Paraíso,MG,5
388,Balneário Piçarras,SC,5
389,Castilho,SP,5
390,Coxim,MS,5
391,Conceição do Mato Dentro,MG,5
392,Ipatinga,MG,5
393,Maraú,BA,5
394,Riachuelo,SE,5
395,Ribas do Rio Pardo,MS,5
396,Novo Horizonte,SP,5
397,São Gonçalo do Abaeté,MG,5
398,Alfenas,MG,5
399,Guarapari,ES,5
400,Bento Gonçalves,RS,5
401,Conselheiro Pena,MG,5
402,Buenópolis,MG,5
403,Bertioga,SP,5
404,Cambará,PR,5
405,Marabá,PA,5
406,Simão Pereira,MG,5
407,Cabo de Santo Agostinho,PE,5
408,Cabo Frio,RJ,5
409,Cabedelo,PB,5
410,Ressaquinha,MG,5
411,Esmeraldas,MG,5
412,Candeias,MG,5
413,Jaraguá do Sul,SC,5
414,Guararema,SP,5
415,Ibiporã,PR,5
416,João Pessoa,PB,5
417,Caratinga,MG,5
418,Mirassol,SP,5
419,Caraguatatuba,SP,5
420,Promissão,SP,5
421,Uruguaiana,RS,5
422,Aparecida de Goiânia,GO,5
423,Estância,SE,5
424,Antônio Dias,MG,5
425,Medina,MG,5
426,Araruama,RJ,4
427,Osasco,SP,4
428,Jequiá da Praia,AL,4
429,Lagoa da Prata,MG,4
430,Laranjeiras,SE,4
431,Ourinhos,SP,4
432,Lajeado,TO,4
433,Corumbataí,SP,4
434,Coromandel,MG,4
435,Oliveira Fortes,MG,4
436,Inocência,MS,4
437,Afuá,PA,4
438,Nísia Floresta,RN,4
439,Cordisburgo,MG,4
440,Nova Santa Rita,RS,4
441,Nova Veneza,GO,4
442,Olinda,PE,4
443,Almirante Tamandaré,PR,4
444,Itaboraí,RJ,4
445,Franco da Rocha,SP,4
446,Fazenda Rio Grande,PR,4
447,Ananindeua,PA,4
448,Itaitinga,CE,4
449,Marechal Deodoro,AL,4
450,Juquitiba,SP,4
451,Flores da Cunha,RS,4
452,Maracaju,MS,4
453,Itaguaí,RJ,4
454,Amambai,MS,4
455,Vespasiano,MG,4
456,Alvorada,RS,4
457,Ipiranga,PR,4
458,Forquilha,CE,4
459,Itacoatiara,AM,4
460,Franca,SP,4
461,Macatuba,SP,4
462,Macapá,AP,4
463,Luís Correia,PI,4
464,Lucas do Rio Verde,MT,4
465,Vitória do Mearim,MA,4
466,Antônio Cardoso,BA,4
467,Araquari,SC,4
468,Mauá,SP,4
469,Costa Rica,MS,4
470,Timon,MA,4
